State,District,University Type,University Name,College Name,College Type,Address,Website,Management,"Year of Establishment
",Specialised in,Location,,Upload Year,The Institute Added In Survey Year
Andhra Pradesh,Anantapur,State Public University ,"Sri Krishnadevaraya University, Anantapur (Id: U-0033)","Panchamukhi Degree College, Kanekal (Id: C-30995)",Affiliated College,"601, 605B4, Kanekal Cross, Kanekal (M)",,Private Un-Aided,2010,No,Rural,,2020,2010
Andhra Pradesh,Anantapur,State Public University ,"Sri Krishnadevaraya University, Anantapur (Id: U-0033)",Penna College of Cement Sciences (Id: C-60621),Affiliated College,Boyareddypalli,,Private Un-Aided,2018,No,Rural,,2020,2018
Andhra Pradesh,Anantapur,State Public University ,"Sri Krishnadevaraya University, Anantapur (Id: U-0033)","PRR Institute of Management, Gooty (Id: C-30958)",Affiliated College,"NEAR MARKET YARD, RS ROAD, GOOTY",prrims.in,Private Un-Aided,2008,No,Urban,,2020,2010
Andhra Pradesh,Anantapur,State Public University ,"Sri Krishnadevaraya University, Anantapur (Id: U-0033)","P.S. Government Degree College, Penukonda (Id: C-30961)",Affiliated College,"Mangapuram road, PENUKONDA, PENUKONDA",psgdc.in,State Government,1980,No,Rural,,2020,2010
Andhra Pradesh,Anantapur,State Public University ,"Sri Krishnadevaraya University, Anantapur (Id: U-0033)","P.V.K.K. Degree College, Anantapur (Id: C-31006)",Affiliated College,"NEAR RTC BUS STAND, VENUGOPAL NAGAR, ANANTAPUR",www.balajisociety.com,Private Un-Aided,1993,No,Urban,,2020,2010
Andhra Pradesh,Anantapur,State Public University ,"Sri Krishnadevaraya University, Anantapur (Id: U-0033)","Raghavendra Institute of Arts & Sciences, Krishnamareddy Palli (Id: C-56562)",Affiliated College,"Krishnamreddy Palli,Chiyyedu Post, Plot No 98 KRISHNAMREDDYPALLI CROSS CHIYYEDU POST ANANTAPUR PIN 515721, Anantapur",www.riasatp.org,Private Un-Aided,2016,No,Rural,,2020,2016
Andhra Pradesh,Anantapur,State Public University ,"Sri Krishnadevaraya University, Anantapur (Id: U-0033)","RMC Degree College, Halukuru, Amarapuram (Id: C-30976)",Affiliated College,"HALKURU VILLAGE, AMARAPRAM MANDAL, ANANTAPRAM DIST",www.rmcdc.com,Private Aided,2010,No,Rural,,2020,2010
Andhra Pradesh,Anantapur,State Public University ,"Sri Krishnadevaraya University, Anantapur (Id: U-0033)","Royal PG Centre, Rayadurg (Id: C-30970)",Affiliated College,"D.No.10-5-698,S.No.183, Kanekal Road, Rayadurg",www.royalpgcentre.com,Private Aided,2000,No,Urban,,2020,2010
Andhra Pradesh,Anantapur,State Public University ,"Sri Krishnadevaraya University, Anantapur (Id: U-0033)",RUSHI ARTS And SCIENCE DEGREE COLLEGE  (Id: C-56629),Affiliated College,"Near Vasudev Petroliums, Kundurpi (Mandal), Anatapur",,Private Un-Aided,2012,No,Rural,,2020,2016
Andhra Pradesh,Anantapur,State Public University ,"Sri Krishnadevaraya University, Anantapur (Id: U-0033)","Sai Master Minds Degree College, Anantapur (Id: C-30949)",Affiliated College,"Venugopal Nagar, 80Feet Road, Near RTC Bus stand, Anantapur, Anantapur",,Private Un-Aided,2006,No,Urban,,2020,2010
Andhra Pradesh,Anantapur,State Public University ,"Sri Krishnadevaraya University, Anantapur (Id: U-0033)","Sairam Vidyanikethan College of Education, Penukonda (Id: C-30925)",Affiliated College,"Rampuram Village, Penukonda Mandal, Anantapur Dist, Penukonda",www.redosairam.org,Private Un-Aided,1999,No,Rural,,2020,2010
Andhra Pradesh,Anantapur,State Public University ,"Sri Krishnadevaraya University, Anantapur (Id: U-0033)","Sai Siddartha College of Education, Tadipatri (Id: C-30918)",Affiliated College,"KALAVAGADDA STREET, PUTLUR ROAD, TADIAPTRI",www.ss-coe.org,Private Un-Aided,2007,No,Urban,,2020,2010
Andhra Pradesh,Anantapur,State Public University ,"Sri Krishnadevaraya University, Anantapur (Id: U-0033)",SANJEEVA RAMA DEGREE COLLEGE  NARPALA (Id: C-63507),Affiliated College,"Near Old Police Quarters, Narpala, Ananatapur",,Private Un-Aided,2017,No,Rural,,2020,2019
Andhra Pradesh,Anantapur,State Public University ,"Sri Krishnadevaraya University, Anantapur (Id: U-0033)","Sapthagiri Degree College, Hindupur (Id: C-31012)",Affiliated College,"D.No 20-1-9/7 Nimkampalli Road, Behind Kanchi kamakshi kalyana mantapam, HINDUPUR",www.sapthagiridpgc.in,Private Un-Aided,1996,No,Urban,,2020,2010
Andhra Pradesh,Anantapur,State Public University ,"Sri Krishnadevaraya University, Anantapur (Id: U-0033)","Sapthagiri Institute of Management, Hindupur (Id: C-56452)",Affiliated College,"D.No 20-9-1/7, Nimkampalli Road, Hindupur, HINDUPUR",simmba.in,Private Un-Aided,2016,No,Urban,,2020,2016
Andhra Pradesh,Anantapur,State Public University ,"Sri Krishnadevaraya University, Anantapur (Id: U-0033)","Saraswathi Degree College, Tadipatri (Id: C-30941)",Affiliated College,"Krishnapuram 0 road, Tadipatri, Anantapur",www.sdc2002.com,Private Un-Aided,2002,No,Urban,,2020,2010
Andhra Pradesh,Anantapur,State Public University ,"Sri Krishnadevaraya University, Anantapur (Id: U-0033)","S.D.G.S. Degree College (Aided), Hindupur (Id: C-30996)",Affiliated College,"4-2-37, Naneppa Nagar, Hindupur",www.sdgschdp.org,Private Un-Aided,1965,No,Urban,,2020,2010
Andhra Pradesh,Anantapur,State Public University ,"Sri Krishnadevaraya University, Anantapur (Id: U-0033)","SDGS PG Department of Management, Hindupur (Id: C-31000)",Affiliated College,"naneppa nagar, hindupur, Andhra Pradesh",www.sdgscollege.org,Private Un-Aided,1988,Management,Urban,,2020,2010
Andhra Pradesh,Anantapur,State Public University ,"Sri Krishnadevaraya University, Anantapur (Id: U-0033)","S.D.R.R. Degree College, Mudigubba (Id: C-30993)",Affiliated College,"NEAR VASAVIKALYANA MANDAPAM, ATPROAD, MUDIGUBBA",www.sdrrdc.in,Private Un-Aided,1994,No,Rural,,2020,2010
Andhra Pradesh,Anantapur,State Public University ,"Sri Krishnadevaraya University, Anantapur (Id: U-0033)","Shri Vivekananda Institute of Science, Guntakal (Id: C-30957)",Affiliated College,"20/342,URAVAKONDA ROAD, NEAR APSRTC DEPOT, GUNTAKAL",www.svisgtl.com,Private Un-Aided,2010,No,Urban,,2020,2010
Andhra Pradesh,Anantapur,State Public University ,"Sri Krishnadevaraya University, Anantapur (Id: U-0033)",Sir C.V.RAMAN INSTITUTE OF MANAGEMENT STUDIES (Id: C-58266),Affiliated College,"BEHIND BHARATH PETROL BUNK, ANANTAPUR ROAD, TADIPATRI",https://scvrim.com/,Private Un-Aided,2014,No,Rural,,2020,2017
Andhra Pradesh,Anantapur,State Public University ,"Sri Krishnadevaraya University, Anantapur (Id: U-0033)","S.K.N.S. Amruthavali Mahila Kalasala, Kadiri (Id: C-30959)",Affiliated College,"KADIRI, Gollamma Manadapam, KADIRI",,Private Un-Aided,2006,No,Urban,,2020,2010
Andhra Pradesh,Anantapur,State Public University ,"Sri Krishnadevaraya University, Anantapur (Id: U-0033)","S.K.P. Government Degree College, Guntakal (Id: C-30956)",Affiliated College,"Ambedkar Colony, Guntakal , ANANTHAPUR DISTRICT",http://skpgcguntakal.ac.in/,State Government,1968,No,Rural,,2020,2010
Andhra Pradesh,Anantapur,State Public University ,"Sri Krishnadevaraya University, Anantapur (Id: U-0033)",SKU College (Id: C-30968),Constituent / University College,"Sri Venakteswara Puram, Sri Venakteswara Puram, Anantapur - 515003",www.skuniversity.ac.in,University,1967,No,Rural,,2020,2010
Andhra Pradesh,Anantapur,State Public University ,"Sri Krishnadevaraya University, Anantapur (Id: U-0033)",SKU College of Education (Id: C-30928),Constituent / University College,"Sri Venakteswara Puram, Sri Venakteswara Puram, Anantapur - 515003",www.skuniversity.org,State Government,2003,No,Rural,,2020,2010
Andhra Pradesh,Anantapur,State Public University ,"Sri Krishnadevaraya University, Anantapur (Id: U-0033)",SKU College of Engineering & Technology (Id: C-31019),Constituent / University College,"Sri Krishnadevaraya University, S V Puram Post, Anantapuram",www.skucet.ac.in,University,2006,Engineering & Technology,Rural,,2020,2010
Andhra Pradesh,Anantapur,State Public University ,"Sri Krishnadevaraya University, Anantapur (Id: U-0033)",SKU College of Pharmacy (Id: C-30998),Constituent / University College,"SK UNIVERSITY, S. V. PURAMU, ANANTAPURAMU",www.skuniversity.org,University,2008,Pharmacy,Rural,,2020,2010
Andhra Pradesh,Anantapur,State Public University ,"Sri Krishnadevaraya University, Anantapur (Id: U-0033)",S.L.N. Degree College (Id: C-57276),Affiliated College,"S L N DEGREE COLLEGE, ALAMURU ROAD, ANANTAPUR RURAL, ANANTAPUR",,Private Un-Aided,2016,No,Rural,,2020,2016
Andhra Pradesh,Anantapur,State Public University ,"Sri Krishnadevaraya University, Anantapur (Id: U-0033)","S.M.J.L. Degree College, Kadiri (Id: C-31003)",Affiliated College,"14/225/10, Opp Judge Quarters, Anantapur Road, Kadiri",www.smjl.com,Private Un-Aided,2006,No,Urban,,2020,2010
Andhra Pradesh,Anantapur,State Public University ,"Sri Krishnadevaraya University, Anantapur (Id: U-0033)","Space Degree College for Women, Kadiri (Id: C-54466)",Affiliated College,"RAYACHOTI ROAD KUMMARAVANDLAPALLI, KADIRI, KADIRI",WWW.SPACEDEGREECOLLEGEFORWOMEN.COM,Private Un-Aided,2013,No,Rural,,2020,2014
Andhra Pradesh,Anantapur,State Public University ,"Sri Krishnadevaraya University, Anantapur (Id: U-0033)","S.P.V.M. Degree College, Gorantla (Id: C-30978)",Affiliated College,"2/277, Opp. Market yard,, Main Road,, GORANTLA",www.spvmdegreecollege.org,Private Un-Aided,1997,No,Rural,,2020,2010
Andhra Pradesh,Anantapur,State Public University ,"Sri Krishnadevaraya University, Anantapur (Id: U-0033)","S.R. Degree College, Pamidi (Id: C-30917)",Affiliated College,"Pamidi, Pamidi, Pamidi",www.srdcpamidi@edu.in,Private Un-Aided,2008,No,Rural,,2020,2010
Andhra Pradesh,Anantapur,State Public University ,"Sri Krishnadevaraya University, Anantapur (Id: U-0033)","Sree Devi College of Education, Borampalli, Kalyandurg (Id: C-30997)",Affiliated College,"Borampalli (Village) Kalyandurg (Mandal) Anantapuramu (Dt), Borampalli(V), Kalyandurg (M), Anantapur (Dist), KALYANDURG",www.sreedevicollegeofeducation.in,Private Un-Aided,2007,No,Rural,,2020,2010
Andhra Pradesh,Anantapur,State Public University ,"Sri Krishnadevaraya University, Anantapur (Id: U-0033)","Sreedevi Degree College, Borampalli, Kalyandurg (Id: C-54467)",Affiliated College,"Borampalli, Borampalli, Kalyandurg",,Private Un-Aided,2015,No,Rural,,2020,2015
Andhra Pradesh,Anantapur,State Public University ,"Sri Krishnadevaraya University, Anantapur (Id: U-0033)","Sreenivasa Degree College, Dharmavaram (Id: C-30927)",Affiliated College,"25/528,6,7,8, NEAR SAI BABA TEMPLE, BANGALORE ROAD, DHARMAVARAM., DHARMAVARAM",www.sreenivasadpgc.in,University,2005,No,Urban,,2020,2010
Andhra Pradesh,Anantapur,State Public University ,"Sri Krishnadevaraya University, Anantapur (Id: U-0033)",SREE VASAVI DEGREE COLLEGE (Id: C-66713),Affiliated College,", , ",,Private Un-Aided,2020,No,Rural,,2020,2020
Andhra Pradesh,Anantapur,State Public University ,"Sri Krishnadevaraya University, Anantapur (Id: U-0033)",SREE VIDYANIKETHAN COLLEGE OF EDUCATION  (Id: C-61024),Affiliated College,"1061-A, GANNEVARIPALLI VILLAGE, TRADIPATRI",,Private Un-Aided,2016,No,Rural,,2020,2018
Andhra Pradesh,Anantapur,State Public University ,"Sri Krishnadevaraya University, Anantapur (Id: U-0033)",SREE VIDYARANYA B.P.Ed. COLLEGE (Id: C-61025),Affiliated College,"GOOTY, GOOTY",,Private Un-Aided,2016,No,Urban,,2020,2018
Andhra Pradesh,Anantapur,State Public University ,"Sri Krishnadevaraya University, Anantapur (Id: U-0033)","Sree Vignan Degree College, Amadaguru (Id: C-61021)",Affiliated College,"Main Road, Amadaguru Village and Mandal, Ananthapuramu",www.sreevignandegreecollege.in,Private Un-Aided,2017,No,Rural,,2020,2018
Andhra Pradesh,Anantapur,State Public University ,"Sri Krishnadevaraya University, Anantapur (Id: U-0033)","Sree Vyshanavi College of Education, Gooty (Id: C-51381)",Affiliated College,"NEAR KALVAGADDA ANJANEYA SWAMY TEMPLE, GOOTY POST, ANANTAPUR",www.svbedc.org,Private Un-Aided,2012,No,Rural,,2020,2013
Andhra Pradesh,Anantapur,State Public University ,"Sri Krishnadevaraya University, Anantapur (Id: U-0033)",SREE VYSHNAVI MBA COLLEGE GOOTY (Id: C-66965),Affiliated College,"near kalavagadda anjaneyaswamy temple, , gooty","www.svmbac,org",University,2010,No,Urban,,2020,2020
Andhra Pradesh,Anantapur,State Public University ,"Sri Krishnadevaraya University, Anantapur (Id: U-0033)","Sri Balaji College of Education, Anantapur (Id: C-30951)",Affiliated College,"Near RTC Busstand, Neeruganti street, Anantapur-515001, Near RTC Busstand, Neeruganti street, Anantapur-515001, Anantapur",www.bcebed.in,Private Un-Aided,2002,No,Urban,,2020,2010
Andhra Pradesh,Anantapur,State Public University ,"Sri Krishnadevaraya University, Anantapur (Id: U-0033)","Sri Balaji Vidya Vihar Degree College, Hindupur (Id: C-30967)",Affiliated College,"VIDYA NAGAR, PIPELINE ROAD, HINDUPUR",,Private Un-Aided,1998,No,Urban,,2020,2010
Andhra Pradesh,Anantapur,State Public University ,"Sri Krishnadevaraya University, Anantapur (Id: U-0033)","Sri Chaitanya Degree College, Bukkarayasamudram, Anantapuramu. (Id: C-54920)",Affiliated College,"BC COLONY NEAR RAJIV GRUAKALPA APARTMENT, Bukkarayasamudram (M), Anantapuramu., ANANTAPUR",,Private Un-Aided,2015,No,Rural,,2020,2015
Andhra Pradesh,Anantapur,State Public University ,"Sri Krishnadevaraya University, Anantapur (Id: U-0033)","Sri Koti Sai Lipi Degree College, Bathalapalli (Id: C-30972)",Affiliated College,"Opp Power Office, Ananthapur bypass Bathapalli, Ananthapur",,Private Un-Aided,2009,No,Rural,,2020,2010
Andhra Pradesh,Anantapur,State Public University ,"Sri Krishnadevaraya University, Anantapur (Id: U-0033)","SRI LAKSHMI VIGNESWARA DEGREE COLLEGE , CHENNEKOTHAPALLI (Id: C-56606)",Affiliated College,"D.No:1-62,1-70, chennekotha palli, ananthapuramu",,Private Un-Aided,2015,No,Rural,,2020,2016
Andhra Pradesh,Anantapur,State Public University ,"Sri Krishnadevaraya University, Anantapur (Id: U-0033)","Sri Sai Degree College, Anantapur (Id: C-30922)",Affiliated College,"D. No. 14-190, Sri Sai Towers, Kamala Nagar, Ananthapuramu",,Private Un-Aided,1999,No,Urban,,2020,2010
Andhra Pradesh,Anantapur,State Public University ,"Sri Krishnadevaraya University, Anantapur (Id: U-0033)","Sri Sai Degree College, Dharmavaram (Id: C-30973)",Affiliated College,"D. No. 22-326,334 & 335, YADAVA STREET,RTC BUS STAND ROAD, 23/96 YADAVA STREET, RTC BUS STAND ROAD,, DHARMAVARAM",srisaicollegedmm.org,Private Un-Aided,2011,No,Urban,,2020,2010
Andhra Pradesh,Anantapur,State Public University ,"Sri Krishnadevaraya University, Anantapur (Id: U-0033)","Sri Sai Degree College, Gooty (Id: C-30987)",Affiliated College,"NEAR MARKET YARD, R S ROAD, GOOTY",www.srisaidc.in,Private Un-Aided,2007,No,Urban,,2020,2010
Andhra Pradesh,Anantapur,State Public University ,"Sri Krishnadevaraya University, Anantapur (Id: U-0033)","Sri Sai Krupa Degree College, Dharmavaram (Id: C-30964)",Affiliated College,"23-550, 550-1, L.P. Circle, DHARMAVARAM",srisaikrupadegreecollege.com,Private Un-Aided,2011,No,Urban,,2020,2010
Andhra Pradesh,Anantapur,State Public University ,"Sri Krishnadevaraya University, Anantapur (Id: U-0033)","Srisaila Bramarabika Degree College for Women, Guntakal (Id: C-31020)",Affiliated College,"TILAK NAGAR, NEAR CHAITHANYA THEATER, GUNTAKAL",,Private Un-Aided,2005,No,Urban,,2020,2010
Andhra Pradesh,Anantapur,State Public University ,"Sri Krishnadevaraya University, Anantapur (Id: U-0033)","Sri Sai Sidhartha Degree College, Anantapur (Id: C-30965)",Affiliated College,"D.NO: 12-2-940, Girish towers  , Sainagar 2nd Cross,  Opp SBI, Sainagar, Anantapur",www.sssdcatp@edu.in,Private Un-Aided,1999,No,Urban,,2020,2010
Andhra Pradesh,Anantapur,State Public University ,"Sri Krishnadevaraya University, Anantapur (Id: U-0033)","Sri Sai Womens Degree College, Anantapur (Id: C-30990)",Affiliated College,"D. No. 13-2-391, Ameya Towers,, Rama Chandra Nagar, Ananthapuramu",,Private Un-Aided,2005,No,Urban,,2020,2010
Andhra Pradesh,Anantapur,State Public University ,"Sri Krishnadevaraya University, Anantapur (Id: U-0033)",SRI SAI WOMENS DEGREE COLLEGE GUNTAKAL (Id: C-61394),Affiliated College,"OPP MUNICIPAL OFFICE, MAIN ROAD, GUNTAKAL",www.sswdcgtl.com,Private Un-Aided,2015,No,Urban,,2020,2019
Andhra Pradesh,Anantapur,State Public University ,"Sri Krishnadevaraya University, Anantapur (Id: U-0033)","Sri Sathya Sai Degree College, Penukonda (Id: C-30936)",Affiliated College,"BEHIND MPDO OFFICE, PENUKONDA, BEHIND MPDO OFFICE, PENUKONDA, PENUKONDA",sssdcpkd08gmail.com,Private Un-Aided,2007,No,Rural,,2020,2010
Andhra Pradesh,Anantapur,State Public University ,"Sri Krishnadevaraya University, Anantapur (Id: U-0033)",SRI SATYAKRUPA DEGREE COLLEGE FOR WOMEN (Id: C-60623),Affiliated College,"12-23, SUDHARSHAN COMPLEX FIRST FLOOR, NTR CIRCLE, DHARMAVARAM",,Private Un-Aided,2018,No,Urban,,2020,2018
Andhra Pradesh,Anantapur,State Public University ,"Sri Krishnadevaraya University, Anantapur (Id: U-0033)","Sri Siva Sai Degree College, Kothacheruvu (Id: C-31009)",Affiliated College,"Nehru Nagar, Kothacheruvu, kothacheruvu",http://www.srisivasai.in/,Private Un-Aided,2007,Computer Application,Rural,,2020,2010
Andhra Pradesh,Anantapur,State Public University ,"Sri Krishnadevaraya University, Anantapur (Id: U-0033)","Sri Srinivasa Degree College, Tanakallu (Id: C-54201)",Affiliated College,"TANAKAL, TANAKAL, ANANTHAPUR",srisrinivasadegreecollege.in,Private Un-Aided,2013,No,Rural,,2020,2015
Andhra Pradesh,Anantapur,State Public University ,"Sri Krishnadevaraya University, Anantapur (Id: U-0033)",SRI SUBBAIAH DEGREE COLLEGE  (Id: C-66903),Affiliated College,"Teachers Colony ,, Gooty Road, Bukkarayasamudram",,Private Un-Aided,2015,No,Rural,,2020,2020
Andhra Pradesh,Anantapur,State Public University ,"Sri Krishnadevaraya University, Anantapur (Id: U-0033)","Sri Vani Degree and PG College, Anantapur (Id: C-31014)",Affiliated College,"1-1276, Rudrampeta Bypass, Kakkalapalli Cross, Near Sakshi Printing Press, 1-1276, Rudrampeta Bypass, Kakkalapalli Cross, Near Sakshi Printing Press, ANANTHAPURAMU",www.srivanidegreeandpg.org,Private Un-Aided,1997,No,Rural,,2020,2010
Andhra Pradesh,Anantapur,State Public University ,"Sri Krishnadevaraya University, Anantapur (Id: U-0033)","Sri Vani Degree College, Kadiri (Id: C-30937)",Affiliated College,"18-1-335, VENUGOPALA NAGAR, ANANTAPURAMU, ANANTAPURAMU",www.srivanidegreecollege.com,Private Un-Aided,2006,No,Urban,,2020,2010
Andhra Pradesh,Anantapur,State Public University ,"Sri Krishnadevaraya University, Anantapur (Id: U-0033)","Sri Vani Institute of Management & Science, Anantapur (Id: C-30914)",Affiliated College,"kakkalapalli cross, Near sakshi office, Anantapur",srivanimcamba.org,Private Un-Aided,2008,Management,Rural,,2020,2010
